フタバアオイ,,,,,,,,,,1,,,,,,,
フタバムグラ,,,,,,,1,,1,,,,,,,,
フタリシズカ,,,,,,,,,,1,,,,,,,
フッキソウ,,,,,,,,,,1,,,,,,,
フデリンドウ,,,,,,,,,,1,,,,,,,
フトイ,,,,1,1,1,,,,,,,,,,,
フトヒルムシロ,,,,,1,,,,,,,,,,,,
フトボナギナタコウジュ,1,,,,,,,,,,,,,,,,
フトボメリケンカルカヤ,,,,,,,,,,,1,,,,1,1,
フナコシイノデ,,,,,,,,,,1,,,,,,,
フモトシダ,,,,,,,,,,1,,,,,,,
フモトスミレ,,,,,,,,,,１,,,,,,,
フユイチゴ,,,,,,,,,,１,,,,,,,
フユザンショウ,,,,,,,,,,１,,,,,,,
フユノハナワラビ,,,,,,,,,,１,,,,,,,
フヨウ,,１,１,,,１,,,,,,,,,,,
フラサバソウ,,,,,,,,,１,,,,,,,１,
フランスギク,,,,,,,,,,,１,,,,１,１,
フリソデヤナギ,,,,,,,,,,,,,,,,,１
ブタクサ,,１,１,,,,,,,,,,１,１,,,
ブタナ,,１,１,,,,,,,,,,,１,,,
ブナ,,,,,,,,,,１,,,,,,,
ブラジルチドメグサ,,１,１,,,１,,,,,,,,,,,
ヘクソカズラ,,,,,,,,,,,１,,,,,,
ヘチマ,,,,,,,,,,,,,,,,,１
ヘビイチゴ,,,,,１,,,,,,,,,,,１,
ヘビノネゴザ,,,,,,,,,,１,,,,,,,１
ヘラオオバコ,,,,,,,,,,,,,,,,１,
ヘラオモダカ,,,,１,１,１,１,,,,,,,,,,
ヘラシダ,１,１,,,,,,,,１,,,,,,,
ヘラバヒメジョオン,,,,,,,,,,,１,,,,１,１,
ベニイタドリ,,,,,,,,,,,,,１,,,,
ベニイトスゲ,,,,,,,,,,１,,,,,,１,
ベニカタバミ,,,,,,,,,,,１,,,,,１,
ベニガクエゴノキ,,,,,,,,,,,,,,,,,１
ベニシタン,,,,,,,,,,,,,,,,,１
ベニシダ,,,,,,,,,,,,,,,,１,
ベニバナセンブリ,,,,,,,,,,,,,,,,１,
ベニバナツメクサ,,,,,,,,,,,,,,,,,１
ベニバナボロギク,,,,,,,,,,,,,,,1,1,
ベニバナミヤマカタバミ,,,,,,,,,,１,,,,,,,
ベニバナヤマボウシ,,,,,,,,,,１,,,,,,,
ベニヤマボウシ,,,,,,,,,,１,,,,,,,
ペラペラヨメナ,,１,１,,,,,,,,,,,,１,,
ホウキギ,,,,,,１,,,,,,,,,,,
ホウキギク,,,,,,,,,,,,,,,１,,１
ホウズキ,,,,,,,,,,,１,１,,,,１,
ホウセンカ,,,,,,,,,,,,,,,,,１
ホウチャクソウ,,,,,,,,,,１,,,,,,,
ホウライシダ,,,,,,,,,,,,,,,,１,
ホウロクイチゴ,,,,,,,,,,１,,,,,,,
ホオズキ,,,,,,,,,,,１,１,,,,１,
ホオノキ,,,,,,,,,,１,,,,,,,
ホガエリガヤ,,,,,,,,,,１,,,,,,,
ホクリクネコノメソウ,１,１,１,,,１,,,,１,,,,,,,
ホコガタアカザ,,,,,,,,,,,,,,,１,,１
ホザキツリガネツツジ,,,,,,,,,,１,,,,,,,
ホザキノフサモ,,１,１,１,,１,１,,,,,,,,,,
ホザキノミミカキグサ,,,,,,１,,,,,,,,,,,
ホザキマンテマ,,,,,,,,,,,１,,,,１,１,
ホシアサガオ,,,,,,,,,,,１,,,,,１,
ホシクサsp.,,,,,,１,１,,,,,,,,,,
ホシダ,,,,,,,,,,１,,,,,,１,
ホソアオゲイトウ,,,,,,,,,１,,１,,,,,,
ホソイ,,,,,,１,,,,,,,,,,,
ホソセイヨウヌカボ,,,,,,,,,,,,,,,１,１,
ホソバアカザ,,１,１,,,,,,,,,,,,１,,１
ホソバアキノノゲシ,,,,,,,,,,１,１,,,,１,,
ホソバイヌビワ,,,,,,,,,,１,,,,,,,
ホソバイヌワラビ,,,,,,,,,,１,,,,,,,
ホソバウマノスズクサ,,,,,,,,,１,,１,１,,,,１,
ホソバウンラン,,,,,,,,,,,１,,,,,１,
ホソバオオアリドオシ,,,,,,,,,,１,,,,,,,
ホソバカナワラビ,,,,,,,,,,１,,,,,,,
ホソバカンスゲ,,,,,,,,,,１,,,,,,,
ホソバガンクビソウ,,,,,,,,,,１,,,,,,,
ホソバコケシノブ,,,,,,,,,,,,,,,,,１
ホソバコンギク,１,,,,,,,,,,,,,,,,
ホソバシケシダ,,,,,,,,,,１,,,,,,,
ホソバタブ,,,,,,,,,,１,,,,,,,１
ホソバツルノゲイトウ,,,,,,,１,,１,,,,,,,１,
ホソバトウゲシバ,,,,,,,,,,１,,,,,,,
ホソバナライシダ,,,,,,,,,,１,,,,,,,
ホソバニセジュズネノキ,,,,,,,,,,１,,,,,,,
