Arctopsyche sp. AA,AAアミメシマトビケラ
Abia aurata,Abia aurata
Abiomyia higona,Abiomyia higona
Abrosiomyia bella,Abrosiomyia bella
Acanthoceras zachariasii,Acanthoceras zachariasii
Acanthocoris scaber,Acanthocoris scaber
Acanthocyclops morimotoi(adult_female),Acanthocyclops morimotoi(成体_雌)
Acanthocyclops morimotoi(copepodid),Acanthocyclops morimotoi(幼体)
Acanthocyclops vernalis(adult_female),Acanthocyclops vernalis(成体_雌)
Acanthocyclops vernalis(copepodid),Acanthocyclops vernalis(幼体)
Acantholyda aglaia stigma,Acantholyda aglaia stigma
Acantholyda aglaia yezoensis,Acantholyda aglaia yezoensis
Acantholyda albomaculata,Acantholyda albomaculata
Acantholyda alpina,Acantholyda alpina
Acantholyda iwatai,Acantholyda iwatai
Acantholyda kojimai,Acantholyda kojimai
Acantholyda kumamotoi,Acantholyda kumamotoi
Acantholyda mizunoi,Acantholyda mizunoi
Acantholyda pirica,Acantholyda pirica
Acantholyda tsuyukii,Acantholyda tsuyukii
Acanthomysis aspera,Acanthomysis aspera
Achaeta sp.,Achaeta sp.
Achnanthidium catenatum,Achnanthidium catenatum
Achnanthidium(sensu lato),Achnanthidium属(広義)
Achyrolimonia monacantha,Achyrolimonia monacantha
Acicnemis azumai,Acicnemis azumai
Acicnemis dividicincta dividicincta,Acicnemis dividicincta dividicincta
Acicnemis dividicincta okinawana,Acicnemis dividicincta okinawana
Acicnemis exilis,Acicnemis exilis
Acicnemis postica,Acicnemis postica
Acicnemis sauteri,Acicnemis sauteri
Acicnemis shigematsui,Acicnemis shigematsui
Acicnemis yakushimana,Acicnemis yakushimana
Aconurella orientalis,Aconurella orientalis
Acrobasis scabrilineella,Acrobasis scabrilineella
Acrofaciella verrucosa,Acrofaciella verrucosa
Acrofacies fullawayi,Acrofacies fullawayi
Acrotaeniostola helvenaca,Acrotaeniostola helvenaca
Acrotrichis latipennis,Acrotrichis latipennis
Acrotrichis longipennis,Acrotrichis longipennis
Actina nigripes,Actina nigripes
Actinastrum,Actinastrum属
Actinoptera trypaneoides,Actinoptera trypaneoides
Adelphomyia acicularis acicularis,Adelphomyia acicularis acicularis
Adelphomyia biacus,Adelphomyia biacus
Adelphomyia breviramus,Adelphomyia breviramus
Adelphomyia caesiella,Adelphomyia caesiella
Adelphomyia flavella,Adelphomyia flavella
Adelphomyia macrotrichiata,Adelphomyia macrotrichiata
Adelphomyia pilifera,Adelphomyia pilifera
Adelphomyia prinolaboides,Adelphomyia prinolaboides
Adelphomyia saitamae,Adelphomyia saitamae
Adelphomyia satsumicola,Adelphomyia satsumicola
Ademula abluta,Ademula abluta
Adorytomus anoploides,Adorytomus anoploides
Adosomus granulosus,Adosomus granulosus
Adota ushio,Adota ushio
Arctopsyche sp. AD,ADアミメシマトビケラ
Aeolosoma niveum,Aeolosoma niveum
Arctopsyche sp. AE,AEアミメシマトビケラ
Agathidium confusum,Agathidium confusum
Agathidium imperiale,Agathidium imperiale
Agathidium japonicum,Agathidium japonicum
Agathidium kamikaze,Agathidium kamikaze
Agathidium kyotoense,Agathidium kyotoense
Agathidium nagasakianum,Agathidium nagasakianum
Agathidium nakatai,Agathidium nakatai
Agathidium omogoense,Agathidium omogoense
Agathidium portevini,Agathidium portevini
Agathidium pseudosamurai,Agathidium pseudosamurai
Agathidium samurai,Agathidium samurai
Aglaostigma helvicinctum,Aglaostigma helvicinctum
Aglaostigma naitoi,Aglaostigma naitoi
Aglaostigma yasumatsui,Aglaostigma yasumatsui
Agnesiella giranna,Agnesiella giranna
Aguriahana niisimai,Aguriahana niisimai
Aidomyia snyderi,Aidomyia snyderi
Akanthospaera-Golenikinia-Golenkiniopsis,Akanthospaera-Golenikinia-Golenkiniopsis属
Albicostella ishiharai,Albicostella ishiharai
Albicostella kiushuensis,Albicostella kiushuensis
Alebra costatella,Alebra costatella
Alebroides akashianus,Alebroides akashianus
Alebroides flavifrons,Alebroides flavifrons
Alebroides hachijonis,Alebroides hachijonis
Alebroides marginata,Alebroides marginata
Allantus basalis,Allantus basalis
Allobaccha fallax,Allobaccha fallax
Allognosta flavimaculata,Allognosta flavimaculata
Allognosta flavofemoralis,Allognosta flavofemoralis
Allognosta shibuyai,Allognosta shibuyai
Allolobophora sp.,Allolobophora sp.
Allonais inaequalis,Allonais inaequalis
Alnetoidia lutescens,Alnetoidia lutescens
Alnetoidia satsumana,Alnetoidia satsumana
Ametastegia luridiventer,Ametastegia luridiventer
Ampelisciphotis sp.,Ampelisciphotis sp.
Amphiareus ochraceus,Amphiareus ochraceus
Amphilophus labiatus,Amphilophus labiatus
Amphora,Amphora属
Ampulex micado,Ampulex micado
Anabaenopsis,Anabaenopsis属
Anafenusa shinoharai,Anafenusa shinoharai
Anatopynia sp.,Anatopynia sp.
Andrena solidago,Andrena solidago
Aneurillodes sp.,Aneurillodes sp.
Angelogelasinus implicatus,Angelogelasinus implicatus
Angelogelasinus naganoensis,Angelogelasinus naganoensis
Angelogelasinus venustus,Angelogelasinus venustus
Anisotoma galloisi,Anisotoma galloisi
Anisotoma glabra,Anisotoma glabra
Anisotoma japonica,Anisotoma japonica
Ankistrodesmus,Ankistrodesmus属
Ankyra-Schroederia,Ankyra-Schroederia属
Anomoia amamioshimaensis,Anomoia amamioshimaensis
Anomoia belliata,Anomoia belliata
Anomoia proba,Anomoia proba
Anomoia tranquilla,Anomoia tranquilla
Anoplius nigerrimus,Anoplius nigerrimus
Anoplonyx orientis,Anoplonyx orientis
Anthinobaris shirozui,Anthinobaris shirozui
Antillocladius sp.,Antillocladius sp.
Antillocladius yakyijeus,Antillocladius yakyijeus
Antocha bidigitata,Antocha bidigitata
Antocha bifida,Antocha bifida
Antocha brevinervis,Antocha brevinervis
Antocha brevistyla,Antocha brevistyla
Antocha dentifera,Antocha dentifera
Antocha dilatata,Antocha dilatata
Antocha gracillima,Antocha gracillima
Antocha latistilus,Antocha latistilus
Antocha mitosanensis,Antocha mitosanensis
Antocha platyphallus,Antocha platyphallus
Antocha sagana,Antocha sagana
Antocha subconfluenta,Antocha subconfluenta
Antocha tuberculata,Antocha tuberculata
Anufrievia akazu,Anufrievia akazu
Anufrievia ciconia,Anufrievia ciconia
Aora sp.,Aora sp.
Aorcho sp.,Aorcho sp.
Apareophora nebuta,Apareophora nebuta
Apatania sp. AA,Apatania sp. AA
Apatrobus ohdaisanus spinosus,Apatrobus ohdaisanus spinosus
Apethymus hakusanensis,Apethymus hakusanensis
Apethymus hisamatsui,Apethymus hisamatsui
Apethymus ichitai,Apethymus ichitai
Apethymus kaiensis,Apethymus kaiensis
Apethymus quercivorus,Apethymus quercivorus
Aphanizomenon gracile,Aphanizomenon gracile
Aphanizomenon,Aphanizomenon属
Aphanocapsa,Aphanocapsa属
Aphanocephalus satoi,Aphanocephalus satoi
Aphanothece,Aphanothece属
Aphrophora bizonaris,Aphrophora bizonaris
Aphrophora paguma,Aphrophora paguma
Apoderus minimus,Apoderus minimus
Aporus quadricollis,Aporus quadricollis
Aporus unicolor,Aporus unicolor
Aproceroides sp.,Aproceroides sp.
Aproceros antennatus,Aproceros antennatus
Aproceros umbricola,Aproceros umbricola
Apteroloma discicolle kinkiense,Apteroloma discicolle kinkiense
Apteroloma discicolle kyushuense,Apteroloma discicolle kyushuense
Arabella mutans,Arabella mutans
Araeocerodes inaequalis,Araeocerodes inaequalis
Arbusia delicatulus var.albiceps,Arbusia delicatulus var.albiceps
Arctoconopa bifurcata,Arctoconopa bifurcata
Arge captiva var.watanabei,Arge captiva var.watanabei
Arge nigronodosa var.dubia,Arge nigronodosa var.dubia
Arge nigronodosa var.quadripunctata,Arge nigronodosa var.quadripunctata
Arge rejecta var.asahi,Arge rejecta var. asahi
Arge rejecta var.imitator,Arge rejecta var.imitator
Arge simillima,Arge simillima
Argyra arrogans,Argyra arrogans
Argyra superba,Argyra superba
Armitarsus albicoxis,Armitarsus albicoxis
Armitarsus minutus,Armitarsus minutus
Armitarsus watanabei,Armitarsus watanabei
Artemita insularis,Artemita insularis
Arthrospira,Arthrospira属
Aruena apicimaculata,Aruena apicimaculata
Asiopodabrus bilineatus nozirianus,Asiopodabrus bilineatus nozirianus
Asiopodabrus gifuensis,Asiopodabrus gifuensis
Asiopodabrus hidaensis,Asiopodabrus hidaensis
Asiopodabrus hiwadanus,Asiopodabrus hiwadanus
Asiopodabrus hosodai,Asiopodabrus hosodai
Asiopodabrus ichihashii,Asiopodabrus ichihashii
Asiopodabrus iwanadomensis,Asiopodabrus iwanadomensis
Asiopodabrus kamitakaranus kamitakaranus,Asiopodabrus kamitakaranus kamitakaranus
Asiopodabrus kashiensis,Asiopodabrus kashiensis
Asiopodabrus kawaianus,Asiopodabrus kawaianus
Asiopodabrus kiriyamanus,Asiopodabrus kiriyamanus
Asiopodabrus kouichii,Asiopodabrus kouichii
Asiopodabrus kuroisawanus,Asiopodabrus kuroisawanus
Asiopodabrus longilaterophyses longilaterophyses,Asiopodabrus longilaterophyses longilaterophyses
Asiopodabrus longilaterophyses mitsukanus,Asiopodabrus longilaterophyses mitsukanus
Asiopodabrus masatakai,Asiopodabrus masatakai
Asiopodabrus naratougeanus,Asiopodabrus naratougeanus
Asiopodabrus nenoharanus,Asiopodabrus nenoharanus
Asiopodabrus nigripalustris,Asiopodabrus nigripalustris
Asiopodabrus ohshirakawanus,Asiopodabrus ohshirakawanus
Asiopodabrus okuhidanus,Asiopodabrus okuhidanus
Asiopodabrus shiobaranus,Asiopodabrus shiobaranus
Asiopodabrus shiraisawanus,Asiopodabrus shiraisawanus
Asiopodabrus tochigiensis,Asiopodabrus tochigiensis
Asiopodabrus tsuboneae,Asiopodabrus tsuboneae
Asiopodabrus uchigadaninus,Asiopodabrus uchigadaninus
Asiopodabrus uedai hisashii,Asiopodabrus uedai hisashii
Asiopodabrus umasakanus,Asiopodabrus umasakanus
Asiopodabrus yamatonus,Asiopodabrus yamatonus
Asiopodabrus yokonensis,Asiopodabrus yokonensis
Asiopodabrus yunishigawanus,Asiopodabrus yunishigawanus
Asplanchna brightwelli,Asplanchna brightwelli
Asterionella formosa complex,Asterionella formosa群
Asterococcus-Coenochloris-Planktosphaeria-Sphaerocystis,Asterococcus-Coenochloris-Planktosphaeria-Sphaerocystis属
Astochia completa,Astochia completa
Astronotus ocellatus,Astronotus ocellatus
Asymmetrasca kaicola,Asymmetrasca kaicola
Asynarchus sp. AA,Asynarchus sp. AA
Atarba minuticornis,Atarba minuticornis
Atheta dentiventris,Atheta dentiventris
Atheta neolata,Atheta neolata
Atheta nikkoana,Atheta nikkoana
Atheta picipennis,Atheta picipennis
Atheta separata,Atheta separata
Atheta shigae,Atheta shigae
Athripsodes sp. LC,Athripsodes sp. LC
Athysanus ogasawarensis,Athysanus ogasawarensis
Atriadops amamioshimensis,Atriadops amamioshimensis
Atriadops javanus,Atriadops javanus
Attalus kurosawai ejimai,Attalus kurosawai ejimai
Attalus papilioformis,Attalus papilioformis
Atypophthalmus crinitus,Atypophthalmus crinitus
Atypophthalmus inelegans,Atypophthalmus inelegans
Atypophthalmus machidai,Atypophthalmus machidai
Atypophthalmus omogoensis,Atypophthalmus omogoensis
Audouinia comosa,Audouinia comosa
Aulacophora nigripennis nitidipennis,Aulacophora nigripennis nitidipennis
Aulacoseira ambigua f.ambigua,Aulacoseira ambigua f.ambigua
Aulacoseira ambigua f.japonica,Aulacoseira ambigua f.japonica
Aulacoseira granulata f.granulata,Aulacoseira granulata f.granulata
Aulacoseira granulata f.spiroides,Aulacoseira granulata f.spiroides
Aulacoseira pusilla complex,Aulacoseira pusilla群
Auletobius testaceus,Auletobius testaceus
Aulonocara sp.,Aulonocara属
Austroagallia nitobei,Austroagallia nitobei
Austrolimnophila erecta,Austrolimnophila erecta
Austrolimnophila horii,Austrolimnophila horii
Austrolimnophila kirishimensis,Austrolimnophila kirishimensis
Austrolimnophila mobilis,Austrolimnophila mobilis
Austrolimnophila unica,Austrolimnophila unica
Austrolimnophila yumotana,Austrolimnophila yumotana
Baccha exilis,Baccha exilis
Baccha laphrieformis,Baccha laphrieformis
Baccha nana,Baccha nana
Baccha okadomei,Baccha okadomei
Baccha optata,Baccha optata
Baccha shirakii,Baccha shirakii
Bacillaria paxillifer,Bacillaria paxillifer
Baeocrara variolosa,Baeocrara variolosa
Bagous alismatis,Bagous alismatis
Bagous buckinghami,Bagous buckinghami
Bagous fractodes,Bagous fractodes
Bagous fractus,Bagous fractus
Bagous fritoides,Bagous fritoides
Bagous lewisi,Bagous lewisi
Bagous minor,Bagous minor
Bagous nipponensis,Bagous nipponensis
Bagous occulatus,Bagous occulatus
Bagous proprius,Bagous proprius
Bagous pygmaeodes,Bagous pygmaeodes
Bagous rotundatus,Bagous rotundatus
Bagous ryukyuensis,Bagous ryukyuensis
Bagous spiculatus,Bagous spiculatus
Bagous subcordatus,Bagous subcordatus
